scenario,hour,solar_elevation_deg,solar_azimuth_deg,dni,dhi,energy_kwh,shading_loss_kwh
Convencional,6.0,7.607054273867325,67.7521609746175,81.0155979447874,22.412449393276145,0.30822159855485337,0.46290387725023807
Convencional,7.0,20.873059434900977,71.51199943342299,218.0548016435554,36.769508807996374,1.3971373289071525,0.5361900381863867
Convencional,8.0,34.3994558271199,74.34228343198038,345.7550100782443,46.30087964555104,2.6776684630023597,0.10668791555322255
Convencional,9.0,48.08528244081598,76.18761221615944,455.4136650786025,53.13834572023705,3.112636959486935,0.0
Convencional,10.0,61.839648655303606,76.39822464121113,539.5577105258513,57.8394231134754,2.8264777304729725,0.0
Convencional,11.0,75.48001389726356,71.27193074405662,592.4528687773704,60.60827234015661,1.9867747238774904,0.0
Convencional,12.0,85.98021715318639,0.0,610.4944222117012,61.524182433393136,0.7937380969030486,0.0
Convencional,13.0,75.48001389726356,288.7280692559434,592.4528687773704,60.60827234015661,0.9082908122881278,0.0
Convencional,14.0,61.839648655303606,283.60177535878887,539.5577105258513,57.8394231134754,0.9290224855081484,0.0
Convencional,15.0,48.08528244081598,283.81238778384056,455.4136650786025,53.13834572023705,0.8477074324845243,0.0
Convencional,16.0,34.3994558271199,285.6577165680196,345.7550100782443,46.30087964555104,0.6523434354180809,0.025991702225728996
Convencional,17.0,20.873059434900977,288.488000566577,218.0548016435554,36.769508807996374,0.3265878022579525,0.12533708930450937
Convencional,18.0,7.607054273867325,292.2478390253825,81.0155979447874,22.412449393276145,0.0804653543326794,0.12084722381414371
