panel_id,x,y,z,width,height,azimuth,tilt,level,scenario,area
conv_1,0.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_2,3.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_3,6.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_4,9.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_5,12.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_6,15.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_7,18.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_8,21.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_9,24.0,0.0,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_10,0.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_11,3.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_12,6.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_13,9.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_14,12.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_15,15.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_16,18.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_17,21.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
conv_18,24.0,4.800000000000001,0.0,1.1,2.2,90.0,90.0,0,Convencional,2.4200000000000004
